salloc -N 2 --ntasks-per-node=1

task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 345  1566989656.43443727  1566989656.43443966  0.00000238
 346  1566989656.43444371  1566989656.43444633  0.00000262
 347  1566989656.43444848  1566989656.43446159  0.00001311
 348  1566989656.43446374  1566989656.43446636  0.00000262
 349  1566989656.43446851  1566989656.43447113  0.00000262
 350  1566989656.43447328  1566989656.43447590  0.00000262
 351  1566989656.43447804  1566989656.43448067  0.00000262
 352  1566989656.43448281  1566989656.43448544  0.00000262
 353  1566989656.43448782  1566989656.43449020  0.00000238
 354  1566989656.43449259  1566989656.43449521  0.00000262
 355  1566989656.43449736  1566989656.43449998  0.00000262
 356  1566989656.43450212  1566989656.43450475  0.00000262
 357  1566989656.43450689  1566989656.43450952  0.00000262
 358  1566989656.43451166  1566989656.43451428  0.00000262
 359  1566989656.43451643  1566989656.43451905  0.00000262
 360  1566989656.43452144  1566989656.43452382  0.00000238
 361  1566989656.43452621  1566989656.43452859  0.00000238
 362  1566989656.43453097  1566989656.43453360  0.00000262
 363  1566989656.43453574  1566989656.43453836  0.00000262
 364  1566989656.43454075  1566989656.43454313  0.00000238
 365  1566989656.43454552  1566989656.43454790  0.00000238
 366  1566989656.43455029  1566989656.43455291  0.00000262
 367  1566989656.43455505  1566989656.43455791  0.00000286
 368  1566989656.43456006  1566989656.43456268  0.00000262
 369  1566989656.43456483  1566989656.43456745  0.00000262
 370  1566989656.43456984  1566989656.43457222  0.00000238
 371  1566989656.43457460  1566989656.43457699  0.00000238
 372  1566989656.43457937  1566989656.43458200  0.00000262
 373  1566989656.43458414  1566989656.43458676  0.00000262
 374  1566989656.43458915  1566989656.43459177  0.00000262
 375  1566989656.43459392  1566989656.43459654  0.00000262
 376  1566989656.43459868  1566989656.43460131  0.00000262
 377  1566989656.43460345  1566989656.43460608  0.00000262
 378  1566989656.43460822  1566989656.43461108  0.00000286
 379  1566989656.43461323  1566989656.43461585  0.00000262
 380  1566989656.43461823  1566989656.43462062  0.00000238
 381  1566989656.43462300  1566989656.43462563  0.00000262
 382  1566989656.43462777  1566989656.43463039  0.00000262
 383  1566989656.43463254  1566989656.43463540  0.00000286
 384  1566989656.43463755  1566989656.43464017  0.00000262
 385  1566989656.43464231  1566989656.43464494  0.00000262
 386  1566989656.43464708  1566989656.43464994  0.00000286
 387  1566989656.43465233  1566989656.43466330  0.00001097
 388  1566989656.43466568  1566989656.43466806  0.00000238
 389  1566989656.43467021  1566989656.43467259  0.00000238
 390  1566989656.43467498  1566989656.43467736  0.00000238
 391  1566989656.43467951  1566989656.43468213  0.00000262
 392  1566989656.43468428  1566989656.43468666  0.00000238
 393  1566989656.43468904  1566989656.43469143  0.00000238
 394  1566989656.43469357  1566989656.43469620  0.00000262
 395  1566989656.43469834  1566989656.43470073  0.00000238
 396  1566989656.43470311  1566989656.43470550  0.00000238
 397  1566989656.43470788  1566989656.43471026  0.00000238
 398  1566989656.43471241  1566989656.43471479  0.00000238
 399  1566989656.43471718  1566989656.43471956  0.00000238
 400  1566989656.43472171  1566989656.43472409  0.00000238
 401  1566989656.43472648  1566989656.43472910  0.00000262
 402  1566989656.43473125  1566989656.43473363  0.00000238
 403  1566989656.43473601  1566989656.43473840  0.00000238
 404  1566989656.43474054  1566989656.43474293  0.00000238
 405  1566989656.43474531  1566989656.43474770  0.00000238
 406  1566989656.43475008  1566989656.43475246  0.00000238
 407  1566989656.43475485  1566989656.43475723  0.00000238
 408  1566989656.43475938  1566989656.43476200  0.00000262
 409  1566989656.43476415  1566989656.43476653  0.00000238
 410  1566989656.43476892  1566989656.43477130  0.00000238
 411  1566989656.43477368  1566989656.43477607  0.00000238
 412  1566989656.43477821  1566989656.43478084  0.00000262
 413  1566989656.43478298  1566989656.43478560  0.00000262
 414  1566989656.43478775  1566989656.43479037  0.00000262
 415  1566989656.43479419  1566989656.43479657  0.00000238
 416  1566989656.43479896  1566989656.43481207  0.00001311
 417  1566989656.43481421  1566989656.43481684  0.00000262
 418  1566989656.43483043  1566989656.43483305  0.00000262
 419  1566989656.43483520  1566989656.43483782  0.00000262
 420  1566989656.43483996  1566989656.43484259  0.00000262
 421  1566989656.43484473  1566989656.43484712  0.00000238
 422  1566989656.43484950  1566989656.43485260  0.00000310
 423  1566989656.43485475  1566989656.43485713  0.00000238
 424  1566989656.43485951  1566989656.43486190  0.00000238
 425  1566989656.43486428  1566989656.43486667  0.00000238
